,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,capital-gain,capital-loss,hours-per-week
208,7,8,1,5,2,0,1,38,1,58,210563,15024,0,35
209,2,6,0,5,3,0,1,38,0,17,65368,0,0,12
210,3,8,1,7,1,1,0,38,0,44,160943,0,0,40
211,2,8,1,6,1,0,0,38,1,37,208358,0,0,40
212,2,9,0,5,0,3,1,38,0,35,153790,0,0,40
213,2,8,1,6,1,2,0,38,0,60,85815,0,0,40
214,7,3,1,9,1,0,0,38,1,54,125417,0,0,40
215,2,12,0,1,0,1,0,38,1,37,635913,0,0,60
216,2,10,4,5,0,0,1,38,0,50,313321,0,0,40
217,2,12,1,5,1,0,0,30,0,38,182609,0,0,50
218,2,12,1,3,1,0,0,38,0,45,109434,0,0,55
219,2,5,0,6,0,0,0,38,0,25,255004,0,0,40
220,2,9,1,2,1,0,0,38,0,31,197860,0,0,40
221,7,1,4,13,0,0,0,38,0,64,187656,0,0,40
222,2,8,0,4,0,1,0,38,0,90,51744,0,2206,40
223,2,8,1,0,1,1,0,38,0,54,176681,0,0,20
224,3,0,0,9,0,0,1,38,0,53,140359,0,0,35
225,2,8,0,5,3,0,1,38,0,18,243313,0,0,40
226,7,5,4,8,0,3,1,38,0,60,24215,0,0,10
227,6,8,1,8,1,0,0,38,0,66,167687,1409,0,50
228,2,11,6,0,0,0,1,3,0,75,314209,0,0,20
229,2,8,4,0,0,0,1,38,0,65,176796,0,0,40
230,2,6,5,7,0,1,0,38,0,35,538583,3674,0,40
231,2,8,4,5,4,1,1,38,0,41,130408,0,0,38
232,2,9,0,0,0,0,0,38,0,25,159732,0,0,42
233,2,9,4,6,5,4,1,38,0,33,110978,0,0,40
234,2,15,0,3,0,0,0,38,1,28,76714,0,0,55
235,4,8,1,4,1,0,0,38,0,59,268700,0,0,40
236,4,9,0,0,0,0,1,38,0,40,170525,0,0,38
237,2,12,1,1,1,0,0,19,1,41,180138,0,0,50
238,3,13,1,1,1,0,0,38,1,38,115076,0,0,70
239,2,8,0,7,3,0,0,38,0,23,115458,0,0,40
240,2,12,1,3,1,0,0,38,1,40,347890,0,0,40
241,6,8,1,4,2,0,1,38,0,41,196001,0,0,20
242,4,10,1,11,1,0,0,38,0,24,273905,0,0,50
243,4,9,0,1,3,0,0,38,0,20,119156,0,0,20
244,2,9,4,6,0,0,0,38,0,38,179488,0,1741,40
245,2,8,1,0,1,0,0,7,0,56,203580,0,0,35
246,2,8,1,0,1,0,0,38,1,58,236596,0,0,45
247,2,8,0,4,0,0,1,38,0,32,183916,0,0,34
248,2,10,1,10,1,0,0,38,1,40,207578,0,1977,60
249,2,8,1,0,1,0,0,31,0,45,153141,0,0,40
250,2,15,1,3,2,0,1,38,1,41,112763,0,0,40
251,2,12,1,0,2,1,1,38,0,42,390781,0,0,40
252,3,5,6,4,4,1,1,38,0,59,171328,0,0,30
253,3,9,0,0,3,0,0,38,0,19,27382,0,0,40
254,2,9,0,7,0,0,0,38,0,58,259014,0,0,20
255,6,8,1,8,1,2,0,0,1,42,303044,0,0,40
256,2,8,0,4,3,0,1,38,0,20,117789,0,0,40
257,2,8,5,4,0,0,1,38,0,32,172579,0,0,30
258,2,11,6,1,0,0,1,38,0,45,187666,0,0,45
259,2,3,4,6,0,0,0,38,0,50,204518,0,0,40
260,2,12,4,3,3,0,1,38,0,36,150042,0,0,40
261,2,8,1,5,1,0,0,38,0,45,98092,0,0,60
262,2,6,0,4,3,0,0,38,0,17,245918,0,0,12
263,2,9,1,5,1,0,0,38,0,59,146013,4064,0,40
264,2,6,1,6,1,0,0,38,0,26,378322,0,0,40
265,7,9,1,1,1,2,0,36,1,37,257295,0,0,75
266,6,9,0,9,3,0,0,1,0,19,218956,0,0,24
267,2,8,1,1,1,0,0,38,1,64,21174,0,0,40
268,2,12,0,3,0,0,1,38,0,33,185480,0,0,45
269,2,8,1,6,2,0,1,38,1,33,222205,0,0,40
270,2,8,1,1,1,0,0,38,1,61,69867,0,0,40
271,2,4,0,4,3,0,0,38,0,17,191260,1055,0,24
272,6,13,1,8,1,0,0,38,0,50,30653,2407,0,98
273,3,13,0,3,3,0,0,38,0,27,209109,0,0,35
274,2,8,4,3,3,0,1,38,0,30,70377,0,0,40
275,2,8,1,2,1,1,0,38,0,43,477983,0,0,40
276,2,9,1,6,1,0,0,38,1,44,170924,7298,0,40
277,2,9,0,1,0,0,1,38,0,35,190174,0,0,40
278,2,9,0,10,3,0,1,38,0,25,193787,0,0,40
279,2,9,1,9,2,0,1,38,1,24,279472,7298,0,48
280,2,12,0,3,0,0,1,10,0,22,34918,0,0,15
281,3,9,1,6,1,0,0,38,1,42,97688,5178,0,40
282,2,10,4,5,4,1,1,38,0,34,175413,0,0,45
283,2,12,4,3,0,0,1,38,0,60,173960,0,0,42
284,2,8,0,2,3,0,0,38,0,21,205759,0,0,40
285,5,13,1,5,1,0,0,38,1,57,425161,15024,0,40
286,2,15,1,3,1,0,0,38,1,41,220531,0,0,60
287,2,9,4,4,0,0,0,38,0,50,176609,0,0,45
288,2,12,0,1,0,0,1,38,0,25,371987,0,0,40
289,2,3,1,6,1,0,0,6,0,50,193884,0,0,40
290,2,12,1,3,1,0,0,38,0,36,200352,0,0,45
291,2,8,4,3,0,0,1,38,0,31,127595,0,0,40
292,3,12,0,11,0,0,0,38,0,29,220419,0,0,56
293,2,9,0,5,3,0,0,38,0,21,231931,0,0,45
294,2,12,0,10,4,1,1,38,0,27,248402,0,0,40
295,2,8,1,7,1,0,0,38,0,65,111095,0,0,16
296,7,12,4,5,0,0,1,38,0,37,57424,0,0,60
297,2,13,1,0,2,2,1,35,0,39,157443,3464,0,40
298,2,8,0,6,3,0,0,38,0,24,278130,0,0,40
299,2,8,4,5,0,0,0,38,0,38,169469,0,0,80
300,2,12,1,0,1,0,0,38,1,48,146268,7688,0,40
301,2,9,0,4,0,2,1,38,0,21,153718,0,0,25
302,2,8,1,7,1,0,0,38,1,31,217460,0,0,45
303,2,8,1,5,1,0,0,38,1,55,238638,4386,0,40
304,2,9,1,0,2,2,1,24,0,24,303296,0,0,40
305,2,8,4,0,0,0,1,38,0,43,173321,0,0,40
306,2,10,0,10,0,0,0,38,0,26,193945,0,0,45
307,2,10,0,3,0,0,1,38,0,46,83082,0,0,33
308,2,10,1,0,1,0,0,38,1,35,193815,0,0,40
309,7,9,1,8,1,0,0,38,1,41,34987,0,0,54
310,2,12,0,5,0,0,0,38,0,26,59306,0,0,40
311,2,13,1,1,1,2,0,35,1,34,142897,7298,0,35
312,0,9,0,5,3,1,1,38,0,19,860348,0,0,25
313,6,12,4,3,0,1,1,38,1,36,205607,0,0,40
314,2,9,0,5,3,0,0,38,0,22,199698,0,0,15
315,2,9,0,9,0,0,0,38,0,24,191954,0,0,40
316,6,9,1,5,1,0,0,38,0,77,138714,0,0,40
317,2,2,1,9,5,0,1,25,0,22,399087,0,0,40
318,2,9,0,10,0,0,1,38,0,29,423158,0,0,40
319,2,8,6,4,0,0,1,38,0,62,159841,0,0,24
320,6,8,1,1,1,0,0,38,0,39,174308,0,0,40
321,2,9,1,6,1,0,0,38,0,43,50356,0,1485,50
322,2,8,4,7,0,0,0,38,0,35,186110,0,0,45
323,2,6,0,1,0,0,1,38,0,29,200381,0,0,40
324,6,13,1,6,1,0,0,38,0,76,174309,0,0,10
325,6,8,1,8,1,0,0,38,0,63,78383,0,0,45
326,3,11,0,4,3,1,1,38,0,23,211601,0,0,15
327,2,9,1,3,2,0,1,38,1,43,187728,0,1887,50
328,6,8,1,2,1,0,0,38,0,58,321171,0,0,40
329,2,8,0,7,0,0,0,38,0,66,127921,2050,0,55
330,2,9,0,6,0,1,0,38,0,41,206565,0,0,45
331,2,12,0,0,0,0,0,38,0,26,224563,0,0,40
332,2,11,0,4,0,0,0,38,0,47,178686,0,0,40
333,3,5,1,0,1,0,0,38,0,55,98545,0,0,40
334,2,8,1,7,1,0,0,38,0,53,242606,0,0,40
335,2,2,0,4,5,0,0,25,0,17,270942,0,0,48
336,2,8,0,6,5,0,0,38,0,30,94235,0,0,40
337,2,13,0,3,0,0,0,38,0,49,71195,0,0,60
338,2,8,0,5,4,1,0,13,0,19,104112,0,0,30
339,2,8,1,4,1,1,0,38,0,45,261192,0,0,40
340,2,10,0,5,0,0,0,38,0,26,94936,0,0,40
341,2,11,1,6,1,0,0,38,1,38,296478,7298,0,40
342,4,8,1,11,1,0,0,38,1,36,119272,7298,0,40
343,2,8,0,8,0,0,0,38,0,33,85043,0,0,20
344,4,9,0,11,3,1,1,38,0,22,293364,0,0,40
345,6,12,0,5,0,0,0,38,0,43,241895,0,0,42
346,7,6,1,10,1,0,0,38,0,67,36135,0,0,8
347,6,11,4,9,4,0,1,38,0,30,151989,0,0,40
348,2,10,2,4,0,0,0,19,0,56,101128,0,0,25
349,2,12,0,3,3,0,0,38,0,31,156464,0,0,25
350,2,12,1,1,1,0,0,38,1,33,117963,0,0,40
351,2,8,1,4,1,0,0,38,0,26,192262,0,0,40
352,2,12,1,1,1,0,0,38,1,33,111363,0,0,40
353,3,6,1,7,1,0,0,38,0,46,329752,0,0,30
354,3,12,1,10,1,0,0,38,1,59,372020,0,0,40
355,5,8,1,0,1,0,0,38,1,38,95432,0,0,40
356,2,6,6,4,4,4,0,38,0,65,161400,0,0,40
357,2,11,1,10,1,0,0,38,1,40,96129,0,0,40
358,2,8,1,0,2,0,1,38,0,42,111949,0,0,35
359,6,4,1,6,1,0,0,31,0,26,117125,0,0,40
360,2,5,1,4,2,0,1,38,0,36,348022,0,0,24
361,2,13,1,3,1,0,0,38,1,62,270092,0,0,40
362,2,12,1,7,1,0,0,38,0,43,180609,0,0,45
363,2,12,4,1,0,0,0,38,1,43,174575,0,1564,45
364,2,8,2,5,0,0,0,38,0,22,410439,0,0,55
365,2,8,1,6,1,0,0,38,0,28,92262,0,0,40
366,6,9,1,5,1,0,0,38,0,56,183081,0,0,45
367,2,10,0,5,0,0,1,38,0,22,362589,0,0,15
368,2,12,4,1,0,0,1,38,1,57,212448,0,0,45
369,2,8,4,5,4,0,1,38,0,39,481060,0,0,40
370,5,9,0,0,4,0,1,38,0,26,185885,0,0,15
371,2,6,0,4,3,0,0,38,0,17,89821,0,0,10
372,4,11,1,9,1,0,0,38,1,40,184018,0,0,38
373,2,8,1,9,1,1,0,38,0,45,256649,0,0,40
374,2,8,0,6,0,1,0,38,0,44,160323,0,0,40
375,3,9,0,0,3,0,1,38,0,20,350845,0,0,10
376,2,8,1,6,2,0,1,38,0,33,267404,0,0,40
377,2,9,0,5,0,0,0,38,0,23,35633,0,0,40
378,6,13,4,1,0,0,0,38,0,46,80914,0,0,30
379,2,8,1,5,1,0,0,38,0,38,172927,0,0,50
380,2,8,4,7,0,0,0,38,0,54,174319,0,0,40
381,2,2,4,6,0,0,1,38,0,46,214955,0,2339,45
382,2,9,1,6,1,0,0,38,0,25,344991,0,0,40
383,2,9,4,5,0,0,1,38,0,46,108699,0,0,40
384,3,9,1,7,2,0,1,38,0,36,117312,0,0,40
385,2,8,0,4,0,0,1,38,0,23,396099,0,0,25
386,2,8,5,9,0,0,0,38,0,29,134152,0,0,40
387,2,9,1,0,2,0,1,38,1,44,162028,0,2415,6
388,2,9,0,0,3,0,1,38,0,19,25429,0,0,16
389,2,8,0,4,5,0,1,38,0,19,232392,0,0,40
390,2,8,1,4,2,0,1,38,1,35,220098,0,0,40
391,2,12,0,6,0,0,0,38,0,27,301302,0,0,50
392,6,10,5,6,0,0,0,38,0,46,277946,0,0,40
393,4,12,1,1,1,0,0,36,1,34,98101,7688,0,45
394,2,8,0,4,0,0,1,38,0,34,196164,0,0,35
395,2,9,1,10,1,0,0,38,0,44,115562,0,0,40
396,2,9,4,2,4,0,1,38,0,45,96975,0,0,40
397,1,8,0,5,5,0,1,38,0,20,137300,0,0,35
398,2,12,1,1,1,0,0,38,1,25,86872,0,0,55
399,7,12,1,1,1,0,0,38,1,52,132178,0,0,50
400,2,9,0,2,3,0,0,38,0,20,416103,0,0,40
401,2,9,0,4,0,0,1,38,0,28,108574,0,0,40
402,4,12,1,11,1,0,0,38,1,50,288353,0,0,40
403,2,11,4,10,0,0,1,38,0,34,227689,0,0,64
404,2,3,1,2,1,4,0,32,0,28,166481,0,2179,40
405,2,13,1,1,1,0,0,38,1,41,445382,0,1977,65
406,2,8,1,0,1,0,0,38,0,28,110145,0,0,40
407,6,8,1,6,1,0,0,38,0,46,317253,0,0,25
408,1,9,1,5,2,0,1,38,1,28,123147,0,1887,40
409,2,9,1,1,1,0,0,38,0,32,364657,0,0,50
410,3,9,4,4,0,1,1,38,0,41,42346,0,0,24
411,2,8,0,2,4,1,1,38,0,24,241951,0,0,40
412,2,9,4,1,4,0,1,38,0,33,118500,0,0,40
413,2,14,1,1,1,0,0,38,1,46,188386,15024,0,60
414,4,9,1,9,1,0,0,38,0,31,1033222,0,0,40
415,2,7,4,6,0,0,0,38,1,35,92440,0,0,50
416,2,1,1,9,1,0,0,25,0,52,190762,0,0,40
417,2,6,0,4,3,0,1,38,0,30,426017,0,0,19
418,3,6,5,9,0,1,0,38,0,34,243867,0,0,40
419,4,8,4,7,4,0,1,38,0,34,240283,0,0,40
420,2,9,1,5,1,0,0,38,0,20,61777,0,0,30
421,2,6,0,2,3,0,0,38,0,17,175024,2176,0,18
422,4,12,1,1,2,0,1,38,1,32,92003,0,0,40
423,2,8,4,8,0,0,0,38,0,29,188401,0,0,40
424,2,5,0,6,4,0,1,38,0,33,228528,0,0,35
425,2,8,1,7,1,0,0,38,0,25,133373,0,0,60
426,5,13,0,3,0,0,0,38,0,36,255191,0,1408,40
427,2,8,0,2,0,0,0,5,0,23,204653,0,0,72
428,7,8,1,1,1,0,0,38,1,63,222289,0,0,40
429,3,13,1,3,1,0,0,38,0,47,287480,0,0,40
430,2,8,6,10,0,0,0,38,0,80,107762,0,0,24
431,0,6,0,8,3,0,0,38,0,17,202521,0,0,40
432,6,12,2,3,0,0,1,38,0,40,204116,2174,0,40
433,2,10,1,4,2,0,1,38,1,30,29662,0,0,25
434,2,9,0,6,3,2,0,29,0,27,116358,0,1980,40
435,2,13,1,3,1,0,0,38,1,33,208405,0,0,50
436,3,8,0,8,0,1,0,38,0,34,284843,594,0,60
437,3,9,0,11,0,0,1,38,0,34,117018,0,0,40
438,2,9,1,0,1,0,0,38,0,23,81281,0,0,40
439,3,9,1,0,2,0,1,38,0,42,340148,0,0,40
440,2,12,0,3,0,0,0,38,0,29,363425,0,0,40
441,2,8,4,0,0,0,1,38,0,45,45857,0,0,28
442,5,8,0,12,3,0,0,38,0,24,191073,0,0,40
443,2,9,1,3,1,0,0,38,1,44,116632,0,0,40
444,2,4,0,6,5,0,0,25,0,27,405855,0,0,40
